chrom	gene	exon1Start	exon1End	exon2Start	exon2End	strand
chr1	LINC01128	849483	849602	850180	850351	+
chr1	SAMD11	939274	939460	941143	941306	+
chr1	MIB2	1625545	1625653	1626649	1626754	+
chr1	TP73	3730926	3731065	3731462	3731556	+
chr1	LINC01777	4422875	4423187	4423347	4423448	+
chr1	LINC01646	4572469	4572592	4575321	4575450	+
chr1	KCNAB2	5995862	5996084	6018634	6018835	+
chr1	CAMTA1	6806982	6807088	6820180	6820250	+
chr1	CAMTA1	6871756	6871840	6886239	6886346	+
chr1	LNCTAM34A	9187535	9187789	9191039	9191124	+
chr1	TARDBP	11015523	11015646	11016122	11016254	+
chr1	AGTRAP	11745802	11745837	11747439	11747545	+
chr1	PLOD1	11956916	11957014	11957089	11957193	+
chr1	MFN2	11982066	11982114	11988426	11988516	+
chr1	MFN2	11981969	11982114	11988426	11988516	+
chr1	MFN2	11981973	11982114	11988426	11988516	+
chr1	MFN2	11981809	11982114	11988426	11988516	+
chr1	MFN2	11982066	11982114	11988721	11988843	+
chr1	MFN2	11981969	11982114	11988721	11988843	+
chr1	MFN2	11981973	11982114	11988721	11988843	+
chr1	MFN2	11988426	11988516	11988721	11988843	+
chr1	MFN2	11981809	11982114	11988721	11988843	+
chr1	MFN2	11982522	11982590	11988781	11988843	+
chr1	MFN2	11988426	11988516	11988781	11988843	+
chr1	MFN2	11982522	11982590	11988426	11988516	+
chr1	MFN2	11982522	11982590	11988721	11988843	+
chr1	MFN2	11988426	11988516	11988721	11988843	+
chr1	FHAD1	15383806	15383861	15388050	15388131	+
chr1	FHAD1	15383158	15383280	15391209	15391263	+
chr1	FHAD1	15383155	15383402	15383806	15383930	+
chr1	DDI2	15633797	15633879	15638306	15638434	+
chr1	NECAP2	16443631	16443732	16447869	16447974	+
chr1	CROCC	16931290	16931397	16936636	16936873	+
chr1	PLA2G5	20063483	20063602	20066023	20066129	+
chr1	LINC00339	22027413	22027534	22028527	22028660	+
chr1	CDC42	22069220	22069318	22074093	22074219	+
chr1	LYPLA2	23793859	23793930	23794062	23794136	+
chr1	RCAN3	24531217	24531391	24533082	24533254	+
chr1	RHD	25306595	25306729	25316999	25317079	+
chr1	RHD	25307646	25307816	25316999	25317079	+
chr1	MTFR1L	25823237	25823323	25823345	25823439	+
chr1	ZPLD2P	26226585	26226616	26227403	26227555	+
chr1	DHDDS	26446315	26446432	26447558	26447660	+
chr1	THEMIS2	27876587	27876728	27882512	27883043	+
chr1	XKR8	27964184	27964235	27965350	27965458	+
chr1	XKR8	27965350	27965458	27965718	27965928	+
chr1	XKR8	27964184	27964235	27965718	27965928	+
chr1	PHACTR4	28432930	28433046	28457831	28457855	+
chr1	PHACTR4	28432930	28433046	28457831	28457859	+
chr1	EPB41	29058588	29058645	29060421	29060484	+
chr1	EPB41	29058810	29058852	29060421	29060484	+
chr1	EPB41	28993329	28993542	28997214	28997319	+
chr1	EPB41	29068732	29068768	29096154	29096604	+
chr1	LINC01778	30826133	30826194	30829747	30829882	+
chr1	LINC01778	30826130	30826194	30826533	30826652	+
chr1	LINC01778	30826055	30826194	30826533	30826652	+
chr1	LINC01778	30826130	30826194	30826604	30826652	+
chr1	LINC01778	30826055	30826194	30826604	30826652	+
chr1	LINC01778	30826130	30826194	30826554	30826652	+
chr1	LINC01778	30826055	30826194	30826554	30826652	+
chr1	LINC01226	31540807	31540885	31551534	31551657	+
chr1	PEF1-AS1	31655951	31656185	31656896	31657061	+
chr1	EIF3I	32226170	32226283	32226402	32226530	+
chr1	EIF3I	32226170	32226320	32226402	32226530	+
chr1	AZIN2	33082177	33082354	33083953	33084127	+
chr1	THRAP3	36224970	36225102	36225411	36225463	+
chr1	LINC01685	38476728	38476803	38493570	38493621	+
chr1	AKIRIN1	39000971	39001106	39003346	39003418	+
chr1	AKIRIN1	38998170	38998311	39000971	39001106	+
chr1	MACF1	39436481	39436490	39437776	39438008	+
chr1	CAP1	40041428	40041493	40057445	40057495	+
chr1	ZMPSTE24	40262833	40262983	40267390	40267507	+
chr1	NFYC	40749572	40749686	40753150	40753246	+
chr1	NFYC	40712686	40712821	40723688	40723792	+
chr1	NFYC	40723688	40723792	40735600	40735750	+
chr1	NFYC	40747533	40747605	40749572	40749686	+
chr1	KCNQ4	40824096	40824258	40826637	40826694	+
chr1	CCDC30	42506946	42507069	42521162	42521256	+
chr1	CCDC30	42473121	42473303	42480460	42480566	+
chr1	CCDC30	42473121	42473303	42477107	42477136	+
chr1	CCDC30	42521162	42521256	42536475	42536601	+
chr1	CCDC30	42506946	42507069	42536475	42536601	+
chr1	PPIH	42668046	42668151	42675366	42675448	+
chr1	PPIH	42675287	42675327	42675366	42675448	+
chr1	PPIH	42668046	42668151	42675287	42675327	+
chr1	ST3GAL3	43819113	43819236	43824730	43824892	+
chr1	ST3GAL3	43858134	43858308	43894382	43894477	+
chr1	ST3GAL3	43838218	43838311	43894382	43894477	+
chr1	ST3GAL3	43858134	43858308	43879334	43879507	+
chr1	ST3GAL3	43814890	43814933	43838218	43838311	+
chr1	DPH2	43970965	43971189	43971386	43972070	+
chr1	ARMH1	44684392	44684656	44688195	44688319	+
chr1	ARMH1	44688195	44688319	44689108	44689224	+
chr1	ARMH1	44684392	44684656	44689108	44689224	+
chr1	KIF2C	44762228	44762295	44762345	44762451	+
chr1	UROD	45013135	45013215	45013291	45013354	+
chr1	UROD	45013908	45014070	45014438	45014576	+
chr1	UROD	45013291	45013354	45013354	45013426	+
chr1	NASP	45594693	45594773	45600384	45600457	+
chr1	NASP	45591222	45591270	45602254	45602365	+
chr1	NASP	45602254	45602365	45604935	45605016	+
chr1	RAD54L	46273354	46273465	46273623	46273747	+
chr1	CYP4B1	46811139	46811184	46812176	46812348	+
chr1	ELAVL4	50120844	50121054	50141771	50141858	+
chr1	OSBPL9	51752502	51752725	51756319	51756358	+
chr1	OSBPL9	51651990	51652041	51669433	51669512	+
chr1	SCP2	52941795	52941853	52948008	52948080	+
chr1	SCP2	52948008	52948080	52950754	52950886	+
chr1	SCP2	53027968	53028071	53038916	53039046	+
chr1	CPT2	53202322	53202429	53210014	53211319	+
chr1	DIO1	53904665	53904809	53906094	53906294	+
chr1	DIO1	53904733	53904809	53906094	53906294	+
chr1	DIO1	53894438	53894547	53904665	53904809	+
chr1	LRRC42	53947787	53947821	53947861	53947981	+
chr1	MROH7	54679890	54680045	54682655	54682794	+
chr1	DAB1-AS1	57864421	57864594	57864706	57864824	+
chr1	LINC01135	58893544	58893717	58896256	58896385	+
chr1	LINC01358	59056937	59057032	59112505	59112589	+
chr1	LINC01358	59056937	59057032	59082567	59082708	+
chr1	LINC01358	59056937	59057032	59082636	59082708	+
chr1	LINC01358	59056937	59057032	59086402	59086596	+
chr1	LINC01358	59056937	59057032	59062114	59062184	+
chr1	LINC01358	59056937	59057032	59062114	59062184	+
