chrom	gene	exonStart	exonEnd	strand
chr1	LINC01128	851926	852766	+
chr1	PLEKHN1	974441	975865	+
chr1	PLEKHN1	970685	971006	+
chr1	SCNN1D	1287507	1287836	+
chr1	MRPL20-AS1	1399519	1400303	+
chr1	MIB2	1629384	1629566	+
chr1	MIB2	1626836	1627207	+
chr1	MMP23B	1632980	1633355	+
chr1	MMP23B	1633747	1634099	+
chr1	DFFB	3883506	3885429	+
chr1	LINC01646	4593051	4594009	+
chr1	KCNAB2	6095529	6096756	+
chr1	KCNAB2	6097268	6097555	+
chr1	KCNAB2	6085203	6086363	+
chr1	ESPN	6448640	6449091	+
chr1	PER3	7829836	7830161	+
chr1	TARDBP	11023192	11024183	+
chr1	MFN2	11981809	11982114	+
chr1	PLEKHM2	15727013	15727832	+
chr1	NECAP2	16458841	16460077	+
chr1	SLC66A1	19312325	19312889	+
chr1	EPHB2	22913461	22921500	+
chr1	LYPLA2	23794223	23794600	+
chr1	LYPLA2	23794223	23794600	+
chr1	SRRM1	24652433	24652628	+
chr1	SRRM1	24670119	24670315	+
chr1	ZNF593	26170417	26170873	+
chr1	ARID1A	26774328	26774901	+
chr1	PIGV	26794112	26795234	+
chr1	PPP1R8	27850092	27851676	+
chr1	THEMIS2	27881970	27883043	+
chr1	THEMIS2	27881970	27883043	+
chr1	PHACTR4	28496533	28500364	+
chr1	CCDC28B	32204597	32205387	+
chr1	EIF3I	32221720	32222032	+
chr1	EIF3I	32228726	32229208	+
chr1	EIF3I	32228726	32229208	+
chr1	EIF3I	32230926	32231602	+
chr1	EIF3I	32230926	32231602	+
chr1	EIF3I	32228726	32231019	+
chr1	EIF3I	32228726	32231019	+
chr1	LCK	32274736	32275083	+
chr1	TEKT2	36087727	36088275	+
chr1	MAP7D1	36176198	36176581	+
chr1	THRAP3	36303795	36305357	+
chr1	SH3D21	36321055	36321778	+
chr1	LINC01685	38476192	38476484	+
chr1	LINC01685	38474881	38475824	+
chr1	SZT2	43427529	43428118	+
chr1	ARTN	43936068	43936346	+
chr1	ATP6V0B	43977025	43978295	+
chr1	CCDC24	43993889	43995162	+
chr1	CCDC24	43995600	43995856	+
chr1	AL139220.2	44050949	44051494	+
chr1	AL139220.2	44050949	44051494	+
chr1	KLF17	44129352	44130196	+
chr1	DMAP1	44213470	44213858	+
chr1	ARMH1	44724319	44724668	+
chr1	MAST2	46032177	46032404	+
chr1	MAST2	46032595	46032718	+
chr1	DIO1	53904665	53904809	+
chr1	DIO1	53894438	53894547	+
chr1	DIO1	53894188	53894547	+
chr1	DIO1	53894210	53894547	+
chr1	DIO1	53894210	53894547	+
chr1	MROH7-TTC4	54731485	54731700	+
chr1	MIER1	66984571	66988619	+
chr1	MIER1	66984571	66988619	+
chr1	FPGT-TNNI3K	74370287	74375848	+
chr1	NEXN	77942460	77943895	+
chr1	LINC01140	87133613	87136669	+
chr1	BRDT	91949397	91949682	+
chr1	BRDT	91949397	91949682	+
chr1	MTF2	93110229	93110428	+
chr1	FNBP1L	93550946	93554659	+
chr1	LINC02790	95991976	95992509	+
chr1	LINC02790	95992009	95992509	+
chr1	LINC02790	95992025	95992509	+
chr1	LINC02790	95992025	95992509	+
chr1	AC118553.2	100078450	100080659	+
chr1	TRMT13	100140407	100141019	+
chr1	AC093157.1	101080388	101083574	+
chr1	AC093157.1	101080886	101083574	+
chr1	RNPC3	103525698	103526262	+
chr1	LINC02785	108071483	108072697	+
chr1	LINC02785	108071483	108072697	+
chr1	GPR61	109542421	109544639	+
chr1	CSF1	109923165	109924190	+
chr1	CEPT1	111182186	111182318	+
chr1	CHIAP2	111281550	111282475	+
chr1	CHIAP2	111281550	111282475	+
chr1	NBPF26	120805555	120805765	+
chr1	NBPF26	120805417	120805765	+
chr1	NBPF26	120805417	120805765	+
chr1	LINC00623	120952438	120953460	+
chr1	POLR3C	145826453	145826709	+
chr1	GNRHR2	145919343	145919900	+
chr1	POLR3GL	145974824	145974991	+
chr1	LINC01719	146057693	146058461	+
chr1	NBPF12	146987953	146988126	+
chr1	CHD1L	147252622	147252735	+
chr1	CHD1L	147254869	147254976	+
chr1	CHD1L	147255812	147255927	+
chr1	CHD1L	147264421	147264584	+
chr1	CHD1L	147272170	147272630	+
chr1	LINC02805	148162755	148163815	+
chr1	LINC02805	148162755	148163815	+
chr1	PDE4DIP	148991884	148993882	+
chr1	PDE4DIP	148991884	148993882	+
chr1	SNX27	151693423	151694484	+
chr1	OAZ3	151767162	151767299	+
chr1	OAZ3	151767162	151767299	+
chr1	INTS3	153773192	153774808	+
chr1	INTS3	153772339	153772711	+
chr1	CREB3L4	153972743	153973078	+
chr1	AQP10	154323588	154325325	+
chr1	TDRD10	154547408	154548147	+
chr1	TDRD10	154547408	154548147	+
chr1	FLAD1	154992712	154993111	+
chr1	FLAD1	154990158	154990528	+
chr1	SLC50A1	155138179	155138853	+
chr1	DAP3	155738156	155739010	+
chr1	LMNA	156114712	156115274	+
chr1	LMNA	156137653	156138757	+
chr1	LMNA	156135860	156136436	+
chr1	LMNA	156114710	156115274	+
chr1	SEMA4A	156154549	156154717	+
chr1	TMEM79	156285183	156285983	+
chr1	RHBG	156377989	156378399	+
chr1	RRNAD1	156731990	156732473	+
chr1	FCRL6	159808960	159809245	+
chr1	KLHDC9	161098360	161099062	+
chr1	PPOX	161170906	161171218	+
chr1	PPOX	161170906	161171181	+
chr1	NDUFS2	161213863	161214381	+
chr1	NDUFS2	161212591	161213182	+
chr1	NDUFS2	161212591	161213182	+
chr1	NDUFS2	161213863	161214299	+
chr1	NDUFS2	161213863	161214299	+
chr1	NDUFS2	161213863	161214395	+
chr1	FCGR2C	161589561	161589819	+
chr1	LINC00626	168786753	168787228	+
chr1	FMO1	171281977	171283216	+
chr1	FMO4	171341412	171342084	+
chr1	CEP350	180110996	180113380	+
chr1	DHX9	182883138	182883368	+
chr1	IGFN1	201206082	201213621	+
chr1	ZC3H11A	203801574	203803016	+
chr1	ZC3H11A	203801574	203803016	+
chr1	ZC3H11A	203796450	203803016	+
chr1	ERLNC1	204141407	204142260	+
chr1	CNTN2	205058180	205058663	+
chr1	CNTN2	205073655	205074944	+
chr1	CDK18	205523146	205523625	+
chr1	MIR205HG	209428819	209429408	+
chr1	MIR205HG	209428822	209429408	+
chr1	ATF3	212615017	212615261	+
chr1	ATF3	212615017	212615261	+
chr1	ATF3	212615021	212615261	+
chr1	ATF3	212619045	212619555	+
chr1	VASH2	212951338	212951818	+
chr1	VASH2	212951338	212951818	+
chr1	PSEN2	226897719	226899555	+
chr1	PSEN2	226897719	226899555	+
chr1	AL118511.1	230874541	230875565	+
chr1	AL118511.1	230874541	230875565	+
chr1	TBCE	235435744	235436608	+
chr1	TBCE	235436385	235436608	+
chr1	FMN2	240334108	240334229	+
chr1	LINC01341	246790445	246792385	+
chr1	LINC01341	246790445	246792385	+
chr1	AL732372.2	498398	498976	-
chr1	AL669831.3	764722	765247	-
chr1	C1ORF159	1083914	1084383	-
chr1	C1ORF159	1083914	1084383	-
chr1	C1ORF159	1090352	1091374	-
chr1	CCNL2	1390229	1390371	-
chr1	CCNL2	1390765	1391575	-
chr1	CDK11A	1722587	1722831	-
chr1	TMEM52	1918892	1919088	-
chr1	TMEM52	1919044	1919269	-
chr1	PRDM16-DT	3059616	3060283	-
chr1	PRDM16-DT	3060500	3061331	-
chr1	LINC01345	3947956	3949024	-
chr1	TNFRSF25	6462862	6463127	-
chr1	TNFRSF25	6462862	6463127	-
chr1	TNFRSF25	6462862	6463147	-
chr1	PLEKHG5	6467824	6468586	-
chr1	KLHL21	6590723	6595557	-
chr1	MAD2L2	11680352	11680613	-
chr1	MTHFR	11802880	11804532	-
chr1	MTHFR	11802880	11804532	-
chr1	MTHFR	11802880	11803526	-
chr1	MTHFR	11802880	11803526	-
chr1	CROCCP3	16476929	16478437	-
chr1	CROCCP3	16491009	16491316	-
chr1	MST1L	16758802	16759168	-
chr1	ALDH4A1	18871429	18872957	-
chr1	AKR7L	19270747	19270935	-
chr1	RAP1GAP	21599493	21599617	-
chr1	LACTBL1	22958684	22958920	-
chr1	RSRP1	25242248	25242705	-
chr1	RSRP1	25243549	25245301	-
chr1	RSRP1	25243549	25245301	-
chr1	RSRP1	25243549	25245301	-
chr1	RSRP1	25242254	25242705	-
chr1	AL391650.1	26171616	26171821	-
chr1	KDF1	26951341	26952412	-
chr1	CD164L2	27379175	27380195	-
chr1	SNHG12	28579532	28580646	-
chr1	SNHG12	28579532	28579981	-
chr1	SNHG12	28579532	28579981	-
chr1	SNHG12	28580559	28581871	-
chr1	SNHG12	28580559	28581229	-
chr1	SNHG12	28580559	28581229	-
chr1	MECR	29195940	29196258	-
chr1	MECR	29195940	29196258	-
chr1	SDC3	30876551	30878740	-
chr1	TMEM234	32215135	32215795	-
chr1	TMEM234	32216199	32216947	-
chr1	YARS1	32786361	32787075	-
chr1	AK2	33007985	33013402	-
chr1	AK2	33012073	33013402	-
chr1	STK40	36339623	36343448	-
chr1	CSF3R	36466042	36466827	-
chr1	PPIEL	39547578	39548951	-
chr1	PABPC4	39575758	39576790	-
chr1	CLDN19	42733092	42736030	-
chr1	P3H1	42746374	42747412	-
chr1	MED8	43383916	43385106	-
chr1	SLC6A9	44000766	44001055	-
chr1	TCTEX1D4	44806783	44807351	-
chr1	MUTYH	45331660	45332086	-
chr1	MUTYH	45331660	45332086	-
chr1	POMGNT1	46188682	46189357	-
chr1	LRRC41	46278400	46279084	-
chr1	LRRC41	46279181	46279614	-
chr1	STIL	47299904	47300152	-
chr1	CALR4P	51567173	51567843	-
chr1	TXNDC12	52020130	52021012	-
chr1	LRP8	53245544	53247056	-
chr1	LRP8	53245544	53247056	-
chr1	LRP8	53245546	53247056	-
chr1	MYSM1	58661405	58663522	-
chr1	HSD52	59132472	59133330	-
chr1	LINC01748	60595537	60596373	-
chr1	LINC01748	60595537	60596373	-
chr1	LINC01748	60595537	60596373	-
chr1	NFIA-AS2	60952510	60954370	-
chr1	LINC00466	63261741	63262700	-
chr1	LINC01359	64979576	64979868	-
chr1	DEPDC1	68489451	68489608	-
chr1	ADGRL4	78889763	78891216	-
chr1	ZNHIT6	85707628	85708433	-
chr1	COL24A1	86156340	86156772	-
