chrom	gene	longExonStart	longExonEnd	shortExonStart	shortExonEnd	strand
chr1	LINC01409	804775	804840	804775	804966	+
chr1	LINC01409	781936	782043	781936	782136	+
chr1	LINC01128	851347	852014	851347	852110	+
chr1	LINC01128	851347	852094	851347	852110	+
chr1	LINC01128	841199	841373	841199	844498	+
chr1	LINC01128	853390	855121	853390	855136	+
chr1	LINC01128	851347	852110	851347	852766	+
chr1	LINC01128	827597	827775	827597	827853	+
chr1	LINC01128	827770	827849	827770	827853	+
chr1	LINC01128	851926	852014	851926	852094	+
chr1	LINC01128	827770	827853	827770	828127	+
chr1	LINC01128	827805	827849	827805	828127	+
chr1	SAMD11	939271	939412	939271	939460	+
chr1	KLHL17	964106	964167	964106	964180	+
chr1	ISG15	1001137	1001263	1001137	1001281	+
chr1	TTLL10	1179656	1179737	1179656	1179853	+
chr1	SCNN1D	1282108	1282315	1282108	1282319	+
chr1	MRPL20-AS1	1399519	1399685	1399519	1399689	+
chr1	MIB2	1623121	1623482	1623121	1623699	+
chr1	MIB2	1623388	1623679	1623388	1623699	+
chr1	MIB2	1623121	1623482	1623121	1623679	+
chr1	MMP23B	1632980	1633355	1632980	1633480	+
chr1	GABRD	2025333	2025401	2025333	2025432	+
chr1	GABRD	2026894	2028287	2026894	2028292	+
chr1	GABRD	2028918	2029266	2028918	2029408	+
chr1	PLCH2	2502111	2502409	2502111	2502910	+
chr1	TNFRSF14	2555790	2555850	2555790	2556252	+
chr1	TNFRSF14	2555801	2556032	2555801	2556252	+
chr1	TNFRSF14	2555801	2556252	2555801	2556261	+
chr1	SMIM1	3772748	3772788	3772748	3772841	+
chr1	DFFB	3858717	3858844	3858717	3858866	+
chr1	DFFB	3858717	3858844	3858717	3858866	+
chr1	LINC01777	4412026	4412349	4412026	4412632	+
chr1	KCNAB2	6097268	6097357	6097268	6097555	+
chr1	KCNAB2	6034282	6034794	6034282	6034963	+
chr1	KCNAB2	6045920	6046183	6045920	6046357	+
chr1	KCNAB2	6094399	6094485	6094399	6094962	+
chr1	ESPN	6448640	6448802	6448640	6449091	+
chr1	ZBTB48	6579993	6580049	6579993	6580136	+
chr1	ZBTB48	6579993	6580070	6579993	6580136	+
chr1	ZBTB48	6580000	6580049	6580000	6580070	+
chr1	LINC01672	6724636	6724850	6724636	6724855	+
chr1	LINC01672	6724636	6724850	6724636	6724855	+
chr1	PER3	7810437	7810567	7810437	7810588	+
chr1	PARK7	7961662	7961735	7961662	7961793	+
chr1	PARK7	7961893	7962081	7961893	7962101	+
chr1	AL139424.2	10395617	10396370	10395617	10396376	+
chr1	TARDBP	11012343	11012428	11012343	11012480	+
chr1	TARDBP	11012343	11012428	11012343	11012606	+
chr1	TARDBP	11012423	11012480	11012423	11012606	+
chr1	TARDBP	11022123	11022177	11022123	11022241	+
